asset_utilization	assets	book_value_per_share	cap_ex_percentage	cash_financing	cash_investing	cash_on_hand	cash_operations	current_ratio	debt_equity_ratio	expenses	free_cash_flow	gross_profit_margin	interest_expense_percentage	liabilities	long_term_debt	market_cap	net_income	period	price	price_to_book_value	quarter	retained_earnings_growth	return_on_equity	revenues	rownum	sga_percentage	shareholders_equity	symbol
2.8400	22.3800	0.1732	33.3333	-0.0500	-0.3400	16.1200	1.0200	1.8025	1.0608	14.6900	0.5800	67.3737	0.0000	11.5200	0.0000	55.1672	1.3400	9/2009	0.8800	5.0799	Q3-2009	0.9951	-18.2320	16.0300	10	75.4630	10.8600	EGHT
2.7438	23.0700	0.1919	26.7327	0.0800	-0.2700	17.0700	1.1200	2.0010	0.9145	14.9300	0.8500	67.5031	0.0000	11.0200	0.0000	94.1700	1.0100	12/2009	1.5000	7.8149	Q4-2009	0.5785	-9.5436	15.9400	11	76.6729	12.0500	EGHT
0.7940	4001.3000	28.3195	149.0070	145.5500	-239.7100	1631.4900	-47.2200	2.5800	0.4006	945.2800	-162.7600	43.5315	4.6944	1144.4200	18.7800	18989.0661	87.1000	9/2000	188.2342	6.6468	Q3-2000	-100.0000	8.9465	1032.3800	0	38.4749	2856.8700	ADCT
0.8657	3970.5000	26.4047	8727.9070	244.7000	-524.1000	1354.2000	250.9000	2.5458	0.3632	802.6000	-124.4000	38.3574	0.0000	1057.8000	16.5000	13995.5812	2.2000	12/2000	126.8750	4.8050	Q4-2000		6.9166	804.8000	1	58.2119	2912.7000	ADCT
0.9083	3722.0000	23.1977		-71.3000	374.3000	711.7000	-338.2000	2.0159	0.4444	1697.6000	-56.2000	47.3176	0.0000	1145.2000	15.0000	6609.2600	-1045.2000	3/2001	59.5000	2.5649	Q1-2001		-36.3785	652.4000	2	58.2119	2576.8000	ADCT
1.0218	2972.3000	19.1915		-49.3000	-14.2000	432.3000	27.8000	2.0567	0.3867	605.6000	-54.1000	22.3379		828.8000	10.3000	5160.0780	-58.1000	6/2001	46.2000	2.4073	Q2-2001		-47.3058	547.5000	3	196.2388	2143.5000	ADCT
0.8885	2697.0000	18.0230		-124.8000	81.8000	273.1000	71.6000	2.1062	0.3266	568.5000	26.6000	45.3779		664.0000	3.7000	2755.7040	-176.9000	9/2001	24.4300	1.3555	Q3-2001		-62.8628	391.6000	4	88.2386	2033.0000	ADCT
0.7541	2499.7000	16.7825		4.6000	31.0000	421.8000	95.0000	2.1775	0.3202	338.3000	-135.8000	32.2998		606.3000	3.0000	3632.8040	-44.8000	12/2001	32.2000	1.9187	Q4-2001	-73.1897	-69.9799	293.5000	5	115.0844	1893.4000	ADCT
0.6540	2340.9000	16.1116		-6.0000	-44.9000	530.2000	37.1000	2.4150	0.2808	387.5000	251.3000	31.7801		513.2000	17.7000	3231.9056	-89.2000	3/2002	28.4900	1.7683	Q1-2002		-20.1893	298.3000	6	115.0844	1827.7000	ADCT
0.5321	2290.0000	15.3406		3.8000	-241.9000	346.8000	82.4000	1.6658	0.3153	864.2000	77.2000	31.3484		549.0000	1.0000	1819.2447	-629.1000	6/2002	16.0300	1.0449	Q2-2002		-53.9920	235.1000	7	148.8467	1741.0000	ADCT
0.6654	1574.4000	9.6547		0.0000	11.7000	273.0000	-49.5000	1.6681	0.4328	602.5000	-57.8000	14.9524		475.6000	0.8000	916.1705	-381.8000	9/2002	8.0500	0.8338	Q3-2002		-104.1955	220.7000	8	282.1212	1098.8000	ADCT
0.8338	1144.2000	6.4324		3.2000	-133.6000	279.4000	60.5000	1.7252	0.5627	241.4000	34.9000	35.4177		412.0000	10.8000	1665.3329	-41.5000	12/2002	14.6300	2.2744	Q4-2002	-242.7390	-155.9137	199.9000	9	90.3955	732.2000	ADCT
0.7971	1063.4000	6.0426		0.2000	166.9000	369.0000	-10.3000	1.8784	0.5360	221.3000	9.6000	36.8942		371.1000	0.0000	1652.0994	-29.4000	3/2003	14.4200	2.3864	Q1-2003		-156.2617	191.9000	10	90.3955	692.3000	ADCT
0.8416	951.8000	5.8150		-19.0000	64.2000	377.6000	-36.2000	2.3216	0.4283	203.6000	-46.6000	38.9390		285.4000	0.0000	1845.0600	-15.1000	6/2003	16.1000	2.7687	Q2-2003		-70.1981	188.5000	11	83.1063	666.4000	ADCT
0.5979	1293.3000	5.3738		355.4000	-2.8000	747.2000	16.6000	3.6774	1.0944	183.6000	-32.8000	37.5842		675.8000	400.0000	1875.7908	9.3000	9/2003	16.3240	3.0377	Q3-2003		-12.4211	192.9000	12	68.4138	617.5000	ADCT
0.5720	1296.9000	5.4578	1988.2353	345.2000	56.2000	746.7000	38.9000	3.7891	1.0661	170.9000	-28.7000	39.3472	0.0000	669.2000	400.0000	2391.0579	-2.4000	12/2003	20.7900	3.8092	Q4-2003	11.3917	-5.9901	168.5000	13	63.4992	627.7000	ADCT
0.5675	1290.1000	5.4965		-344.2000	-44.3000	749.6000	-45.1000	4.0071	1.0374	208.8000	25.2000	36.3886	0.0000	656.9000	400.0000	2338.5600	-26.6000	3/2004	20.3000	3.6932	Q1-2004		-5.4959	182.2000	14	63.4992	633.2000	ADCT
0.6227	1250.6000	5.2731		-4.7000	6.7000	741.4000	2.9000	4.1521	1.0559	249.5000	-0.8000	30.7823		642.3000	400.0000	2293.3568	-14.3000	6/2004	19.8800	3.7701	Q2-2004		-5.5893	235.2000	15	71.5470	608.3000	ADCT
0.6291	1354.6000	5.1518		-3.2000	-296.7000	421.3000	-15.6000	2.6517	1.2747	206.6000	-14.2000	33.4961	0.0000	759.1000	400.4000	1464.5253	59.7000	9/2004	12.6700	2.4593	Q3-2004		2.7540	266.3000	16	75.4484	595.5000	ADCT
0.6492	1428.1000	5.7038		-7.0000	-220.3000	501.6000	3.1000	2.7669	1.1661	190.9000	3.9900	33.5251	0.0000	768.8000	400.0000	2168.4684	52.5000	12/2004	18.7600	3.2890	Q4-2004	-2.1867	10.8145	243.4000	17	74.7549	659.3000	ADCT
0.7402	1432.9000	6.1558	16.3699	7.9000	256.7000	513.4000	-19.2000	3.3651	1.0100	282.3000	-21.5900	25.8473	0.0000	720.0000	400.0000	1613.2333	33.4000	3/2005	13.9300	2.2629	Q1-2005		18.4177	315.7000	18	74.7549	712.9000	ADCT
0.7604	1499.2000	6.4647		1.5000	11.2000	548.7000	-1.2000	3.4053	1.0016	290.7000	8.2000	37.1901	0.0000	750.2000	400.0000	2522.2722	23.9000	6/2005	21.7700	3.3675	Q2-2005		22.6302	314.6000	19	54.3590	749.0000	ADCT
0.7752	1516.2000	6.7011		8.8000	-27.1000	575.5000	25.2000	3.5944	0.9503	300.7000	51.1000	38.3952	0.0000	738.8000	400.0000	2651.9886	0.9000	9/2005	22.8600	3.4114	Q3-2005		14.2398	301.6000	20	54.8359	777.4000	ADCT
